"type","browser","machine","framework","operatingSystem","diskReadTime","disWriteTime","diskTime","ramInUse","ramAvailable","cpuProcessorTime","cpuInterrupts"
"image","firefox","Lenovo 20Y7003XGE","react","Windows 11","null","null","null","12952946688","4226922496","1.8461538461538463","15.480555555555556"
"image","chrome","Lenovo 20Y7003XGE","remix","Windows 11","null","null","null","10391991910.4","6787877273.6","0.5384615384615384","10.220208333333332"
"image","chrome","Lenovo 20Y7003XGE","react","Windows 11","null","null","null","12939741184","4240128000","4.3076923076923075","25.458333333333332"
"image","firefox","Lenovo 20Y7003XGE","remix","Windows 11","null","null","null","10429557964.8","6750311219.2","0.20512820512820515","4.6156250000000005"
"video","firefox","Lenovo 20Y7003XGE","astro","Windows 11","null","null","null","10436179968","6743689216","3.769230769230769","24.31"
"video","chrome","Lenovo 20Y7003XGE","gatsby","Windows 11","null","null","null","10354482926.933332","6825386257.066667","0.6239316239316239","4.249781746031746"
"video","firefox","Lenovo 20Y7003XGE","next","Windows 11","null","null","null","11126863872","6053005312","3.230769230769231","47.45944444444444"
"video","chrome","Lenovo 20Y7003XGE","remix","Windows 11","3","null","null","10503067648","6676801536","4.538461538461538","29.166388888888886"
"video","chrome","Lenovo 20Y7003XGE","next","Windows 11","null","null","null","10875328512","6304540672","3.6153846153846154","14.93611111111111"
"video","firefox","Lenovo 20Y7003XGE","gatsby","Windows 11","null","null","null","10481446912","6698422272","2.794871794871795","23.537222222222223"
"video","firefox","Lenovo 20Y7003XGE","remix","Windows 11","null","null","null","10466799616","6713069568","2.3846153846153846","21.051180555555554"
"video","firefox","Lenovo 20Y7003XGE","react","Windows 11","null","1","null","10697666560","6482202624","6.615384615384615","63.70027777777777"
