"browser","machine","framework","operatingSystem","name","mimeType","losslessAverage","normalAverage","lowQualityAverage"
"firefox","Desktop PC","react","ubuntu","sample_1920%C3%971280","JPEG","6.25","7.75","7.5"
"firefox","Desktop PC","react","ubuntu","sample_5184×3456","WebP","70.75","68.25","7"
"firefox","Desktop PC","react","ubuntu","sample_1920%C3%971280","WebP","19.75","18.25","7.75"
"chrome","Desktop PC","remix","ubuntu","sample_5184×3456","JPEG","49.97500000009313","28.875","14.22499999991851"
"chrome","Desktop PC","remix","ubuntu","sample_1920%C3%971280","JPEG","5.550000000046566","20.900000000023283","9.199999999953434"
"chrome","Desktop PC","remix","ubuntu","sample_5184×3456","WebP","119.02500000002328","97.47499999997672","11.000000000058208"
"chrome","Desktop PC","remix","ubuntu","sample_1920%C3%971280","WebP","27.400000000023283","27.100000000093132","10.575000000128057"
"firefox","Desktop PC","remix","ubuntu","sample_5184×3456","JPEG","1973.5","277","151"
"firefox","Desktop PC","remix","ubuntu","sample_1920%C3%971280","JPEG","null","69.5","44"
"firefox","Desktop PC","remix","ubuntu","sample_5184×3456","WebP","2981.5","3497.25","40.25"
"firefox","Desktop PC","remix","ubuntu","sample_1920%C3%971280","WebP","400.75","399","26.75"
"chrome","Desktop PC","astro","windows 10","sample_5184×3456","JPEG","1004.0750000001863","145.20000000065193","70.40000000037253"
"chrome","Desktop PC","astro","windows 10","sample_1920%C3%971280","JPEG","195.54999999934807","455.37499999953434","113.17499999934807"
"chrome","Desktop PC","astro","windows 10","sample_5184×3456","WebP","1877.1499999994412","1904.0000000004657","49.82499999925494"
"chrome","Desktop PC","astro","windows 10","sample_1920%C3%971280","WebP","287.02500000037253","647.1500000003725","33.64999999990687"
"firefox","Desktop PC","astro","windows 10","sample_5184×3456","JPEG","10.25","8","9.5"
"firefox","Desktop PC","astro","windows 10","sample_1920%C3%971280","JPEG","15.5","10.75","11"
"firefox","Desktop PC","astro","windows 10","sample_5184×3456","WebP","11.25","10.75","9.25"
"firefox","Desktop PC","astro","windows 10","sample_1920%C3%971280","WebP","12","11","9.5"
"chrome","Desktop PC","gatsby","windows 10","sample_5184×3456","JPEG","1118.5","116.20000000018626","60.87500000046566"
"chrome","Desktop PC","gatsby","windows 10","sample_1920%C3%971280","JPEG","null","435.24999999953434","31.37500000046566"
"chrome","Desktop PC","gatsby","windows 10","sample_5184×3456","WebP","1761.700000000652","2694.1749999998137","35.674999999348074"
"chrome","Desktop PC","gatsby","windows 10","sample_1920%C3%971280","WebP","481.34999999962747","164.92499999934807","30.72499999916181"
"firefox","Desktop PC","gatsby","windows 10","sample_5184×3456","JPEG","61","18","14"
"firefox","Desktop PC","gatsby","windows 10","sample_1920%C3%971280","JPEG","null","12.75","22.75"
"firefox","Desktop PC","gatsby","windows 10","sample_5184×3456","WebP","68.75","69.25","11"
"firefox","Desktop PC","gatsby","windows 10","sample_1920%C3%971280","WebP","18.5","19.5","12.5"
"chrome","Desktop PC","next","windows 10","sample_5184×3456","JPEG","24.25","19","14.25"
"chrome","Desktop PC","next","windows 10","sample_1920%C3%971280","JPEG","null","12","23.5"
"chrome","Desktop PC","next","windows 10","sample_5184×3456","WebP","11.75","14.75","13.25"
"chrome","Desktop PC","next","windows 10","sample_1920%C3%971280","WebP","11.25","11.5","9.75"
"firefox","Desktop PC","next","windows 10","sample_5184×3456","JPEG","18.899999999906868","7.800000000046566","6.449999999720603"
"firefox","Desktop PC","next","windows 10","sample_1920%C3%971280","JPEG","null","8.025000000023283","10.92499999993015"
"firefox","Desktop PC","next","windows 10","sample_5184×3456","WebP","7.600000000093132","8.275000000023283","6.375000000116415"
"firefox","Desktop PC","next","windows 10","sample_1920%C3%971280","WebP","6.224999999860302","11.800000000046566","24.500000000116415"
"chrome","Desktop PC","react","windows 10","sample_5184×3456","JPEG","1049.5249999994412","178.59999999962747","226.0249999994412"
"chrome","Desktop PC","react","windows 10","sample_1920%C3%971280","JPEG","221.125","42.74999999953434","38.24999999953434"
"chrome","Desktop PC","react","windows 10","sample_5184×3456","WebP","1778.2500000004657","1866.8750000004657","37.5749999997206"
"chrome","Desktop PC","react","windows 10","sample_1920%C3%971280","WebP","307.22499999962747","634.2750000008382","42.02500000037253"
"firefox","Desktop PC","react","windows 10","sample_5184×3456","JPEG","16.5","12.5","11.25"
"firefox","Desktop PC","react","windows 10","sample_1920%C3%971280","JPEG","12","12","12.5"
"firefox","Desktop PC","react","windows 10","sample_5184×3456","WebP","9.75","11.75","11.25"
"firefox","Desktop PC","react","windows 10","sample_1920%C3%971280","WebP","8.5","9","11.25"
"chrome","Desktop PC","remix","windows 10","sample_5184×3456","JPEG","380.4000000000233","86.9250000002794","21.274999999906868"
